full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
pedrohcgs/claude-code-my-workflow,1083,1083,2227,0,0,1,https://github.com/pedrohcgs/claude-code-my-workflow
ykdojo/claude-code-tips,8223,8223,612,4,4,1,https://github.com/ykdojo/claude-code-tips
chauncygu/collection-claude-code-source-code,2429,2429,2289,3,3,1,https://github.com/chauncygu/collection-claude-code-source-code
lintsinghua/claude-code-book,3229,3229,703,3,3,0,https://github.com/lintsinghua/claude-code-book
ChrisWiles/claude-code-showcase,5887,5887,553,1,1,0,https://github.com/ChrisWiles/claude-code-showcase
huangserva/claude-code-cli,580,580,1305,1,1,0,https://github.com/huangserva/claude-code-cli
OneRedOak/claude-code-workflows,3797,3797,557,0,0,0,https://github.com/OneRedOak/claude-code-workflows
alex000kim/claude-code,225,225,325,0,0,0,https://github.com/alex000kim/claude-code
1rgs/claude-code-proxy,3564,3564,464,2,2,0,https://github.com/1rgs/claude-code-proxy
nicedreamzapp/claude-code-local,2597,2597,507,4,4,1,https://github.com/nicedreamzapp/claude-code-local
xorespesp/claude-code,223,223,312,0,0,0,https://github.com/xorespesp/claude-code
lorryjovens-hub/claude-code-rust,1565,1565,621,1,1,0,https://github.com/lorryjovens-hub/claude-code-rust
zebbern/claude-code-guide,4116,4116,405,1,1,0,https://github.com/zebbern/claude-code-guide
disler/claude-code-hooks-mastery,3657,3657,614,1,1,0,https://github.com/disler/claude-code-hooks-mastery
777genius/claude-code-source-code,912,912,1112,0,0,0,https://github.com/777genius/claude-code-source-code
VineeTagarwaL-code/claude-code,274,274,268,0,0,0,https://github.com/VineeTagarwaL-code/claude-code
FlorianBruniaux/claude-code-ultimate-guide,4310,4310,567,4,4,0,https://github.com/FlorianBruniaux/claude-code-ultimate-guide
wanshuiyin/Auto-claude-code-research-in-sleep,9017,9017,848,25,25,1,https://github.com/wanshuiyin/Auto-claude-code-research-in-sleep
Maciek-roboblog/Claude-Code-Usage-Monitor,7967,7967,405,2,2,0,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
anthropics/skills,133066,133066,15696,108,108,15,https://github.com/anthropics/skills
zstmfhy/Claude-code,190,190,285,0,0,0,https://github.com/zstmfhy/Claude-code
kodu-ai/claude-coder,5278,5278,201,0,0,0,https://github.com/kodu-ai/claude-coder
Yuyz0112/claude-code-reverse,2362,2362,406,0,0,0,https://github.com/Yuyz0112/claude-code-reverse
forrestchang/andrej-karpathy-skills,127138,127138,12920,344,344,33,https://github.com/forrestchang/andrej-karpathy-skills
Windy3f3f3f3f/how-claude-code-works,2326,2326,566,2,2,1,https://github.com/Windy3f3f3f3f/how-claude-code-works
anthropics/claude-code-security-review,4577,4577,432,2,2,0,https://github.com/anthropics/claude-code-security-review
fuergaosi233/claude-code-proxy,2582,2582,374,0,0,0,https://github.com/fuergaosi233/claude-code-proxy
freestylefly/claude-code,124,124,296,0,0,0,https://github.com/freestylefly/claude-code
RichardAtCT/claude-code-telegram,2577,2577,371,0,0,0,https://github.com/RichardAtCT/claude-code-telegram
chiragjoshi12/claude-code,200,200,233,2,2,0,https://github.com/chiragjoshi12/claude-code
alejandrobalderas/claude-code-from-source,1920,1920,580,0,0,0,https://github.com/alejandrobalderas/claude-code-from-source
ding113/claude-code-hub,2810,2810,317,0,0,0,https://github.com/ding113/claude-code-hub
fazxes/Claude-code,215,215,211,0,0,0,https://github.com/fazxes/Claude-code
Cranot/claude-code-guide,2710,2710,298,1,1,0,https://github.com/Cranot/claude-code-guide
mehmoodosman/claude-code,169,169,216,0,0,0,https://github.com/mehmoodosman/claude-code
rohitg00/awesome-claude-code-toolkit,1637,1637,505,7,7,1,https://github.com/rohitg00/awesome-claude-code-toolkit
isboyjc/claude-code,156,156,217,0,0,0,https://github.com/isboyjc/claude-code
AprilNEA/claude-code-source,377,377,616,0,0,0,https://github.com/AprilNEA/claude-code-source
anthropics/claude-code-base-action,821,821,603,1,1,0,https://github.com/anthropics/claude-code-base-action
sickn33/antigravity-awesome-skills,37338,37338,6106,30,30,6,https://github.com/sickn33/antigravity-awesome-skills
luyao618/Claude-Code-Source-Study,1352,1352,501,0,0,0,https://github.com/luyao618/Claude-Code-Source-Study
SeemSeam/claude_codex_bridge,2553,2553,252,2,2,0,https://github.com/SeemSeam/claude_codex_bridge
https-deeplearning-ai/sc-claude-code-files,509,509,718,0,0,0,https://github.com/https-deeplearning-ai/sc-claude-code-files
repowise-dev/claude-code-prompts,999,999,363,0,0,0,https://github.com/repowise-dev/claude-code-prompts
luongnv89/claude-howto,32549,32549,3969,21,21,3,https://github.com/luongnv89/claude-howto
JrCx7scC/claude-code-source,367,367,542,0,0,0,https://github.com/JrCx7scC/claude-code-source
guanshan/ClaudeCode,59,59,216,0,0,0,https://github.com/guanshan/ClaudeCode
edmund-io/edmunds-claude-code,1429,1429,284,1,1,0,https://github.com/edmund-io/edmunds-claude-code
Yeachan-Heo/oh-my-claudecode,33568,33568,3088,31,31,2,https://github.com/Yeachan-Heo/oh-my-claudecode
Pimzino/claude-code-spec-workflow,3726,3726,264,1,1,0,https://github.com/Pimzino/claude-code-spec-workflow
lowcortisolprogrammer/claude-code,173,173,163,0,0,0,https://github.com/lowcortisolprogrammer/claude-code
carlvellotti/claude-code-pm-course,2007,2007,319,2,2,0,https://github.com/carlvellotti/claude-code-pm-course
AICoderTudou/claude-code-tudou,500,500,403,1,1,1,https://github.com/AICoderTudou/claude-code-tudou
nanocoai/nanoclaw,28814,28814,12807,2,2,0,https://github.com/nanocoai/nanoclaw
alirezarezvani/claude-skills,14571,14571,1977,21,21,3,https://github.com/alirezarezvani/claude-skills
snarktank/ralph,18968,18968,1884,13,13,1,https://github.com/snarktank/ralph
andrew-kramer-inno/claude-code-source-build,587,587,520,0,0,0,https://github.com/andrew-kramer-inno/claude-code-source-build
wshobson/agents,35277,35277,3833,7,7,2,https://github.com/wshobson/agents
Windy3f3f3f3f/claude-code-from-scratch,1172,1172,364,4,4,1,https://github.com/Windy3f3f3f3f/claude-code-from-scratch
ghuntley/claude-code-source-code-deobfuscation,976,976,552,0,0,0,https://github.com/ghuntley/claude-code-source-code-deobfuscation
feiskyer/claude-code-settings,1502,1502,219,0,0,0,https://github.com/feiskyer/claude-code-settings
sugyan/claude-code-webui,1093,1093,242,0,0,0,https://github.com/sugyan/claude-code-webui
anthropics/claude-plugins-official,19225,19225,2393,24,24,1,https://github.com/anthropics/claude-plugins-official
router-for-me/CLIProxyAPI,32348,32348,5377,35,35,7,https://github.com/router-for-me/CLIProxyAPI
Hyper66666/claude-code-sourcemap,214,214,461,0,0,1,https://github.com/Hyper66666/claude-code-sourcemap
darcyegb/ClaudeCodeAgents,690,690,63,1,1,0,https://github.com/darcyegb/ClaudeCodeAgents
farion1231/cc-switch,68765,68765,4388,191,191,12,https://github.com/farion1231/cc-switch
eyaltoledano/claude-task-master,27114,27114,2529,5,5,0,https://github.com/eyaltoledano/claude-task-master
centminmod/my-claude-code-setup,2283,2283,219,0,0,1,https://github.com/centminmod/my-claude-code-setup
lst97/claude-code-sub-agents,1562,1562,251,0,0,0,https://github.com/lst97/claude-code-sub-agents
KPR111/Claude-Code,16,16,331,16,16,331,https://github.com/KPR111/Claude-Code
